               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,metrics/uai_positif_mAP,metrics/uai_negatif_mAP,metrics/uap_positif_mAP,metrics/uap_negatif_mAP,metrics/uai_positif_mAP_50,metrics/uai_negatif_mAP_50,metrics/uap_positif_mAP_50,metrics/uap_negatif_mAP_50
                  21,            0.010392,           0.0025463,            0.002825,              0.9848,             0.98274,             0.99187,             0.96189,           0.0039198,           0.0018111,           0.0011425,              0.0082,              0.0082,              0.0082,              0.9845,             0.93048,             0.98785,             0.94474,             0.99417,             0.98638,             0.99366,             0.99326
                  22,           0.0099496,           0.0025114,           0.0028746,             0.98814,             0.98464,             0.99016,             0.95599,           0.0040517,           0.0017791,           0.0011218,             0.00811,             0.00811,             0.00811,             0.98483,             0.92894,             0.98004,             0.93014,              0.9941,             0.98601,             0.99292,             0.98762
                  23,           0.0099722,           0.0024831,           0.0025899,             0.98132,             0.98287,             0.98846,              0.9582,           0.0042603,           0.0017992,           0.0012484,             0.00802,             0.00802,             0.00802,              0.9804,             0.92368,             0.97883,             0.94988,             0.99164,              0.9824,             0.99097,             0.98885
                  24,           0.0096044,           0.0024606,           0.0025549,             0.98725,             0.98161,             0.99083,             0.96068,           0.0036926,           0.0017336,           0.0010332,             0.00793,             0.00793,             0.00793,             0.98134,             0.93239,             0.98621,             0.94279,             0.98929,             0.98709,             0.99409,             0.99284
                  25,           0.0095956,           0.0024466,           0.0024386,             0.99128,             0.98351,             0.98909,             0.96511,           0.0037251,           0.0017458,           0.0010483,             0.00784,             0.00784,             0.00784,              0.9846,             0.93592,             0.98799,             0.95191,             0.99216,              0.9835,             0.99265,             0.98804
                  26,            0.009369,            0.002407,           0.0022883,             0.98955,             0.98412,             0.99038,             0.96177,            0.003996,           0.0017474,          0.00096159,             0.00775,             0.00775,             0.00775,             0.98454,             0.93358,             0.98176,             0.94721,             0.99473,             0.98894,             0.99046,             0.98737
                  27,           0.0089876,           0.0023487,           0.0022589,             0.98763,             0.98128,             0.98897,             0.96179,           0.0037114,           0.0016697,           0.0011746,             0.00766,             0.00766,             0.00766,             0.98615,             0.92864,             0.98306,              0.9493,             0.99214,             0.98194,             0.99415,             0.98765
                  28,           0.0089644,            0.002275,           0.0021607,             0.97929,              0.9893,             0.99094,             0.96553,           0.0034039,           0.0015876,          0.00096223,             0.00757,             0.00757,             0.00757,             0.98901,             0.93601,             0.98964,             0.94744,             0.99498,             0.98993,              0.9921,             0.98676
                  29,           0.0089486,           0.0023456,           0.0026836,             0.98618,             0.98253,             0.98748,             0.96038,           0.0034504,           0.0016831,           0.0011082,             0.00748,             0.00748,             0.00748,             0.98549,             0.92498,             0.98803,             0.94301,             0.99245,             0.97972,             0.99233,             0.98541
                  30,           0.0086718,           0.0022888,           0.0023504,             0.98578,             0.98418,             0.99127,             0.96704,           0.0034515,             0.00158,          0.00095731,             0.00739,             0.00739,             0.00739,             0.98706,             0.93656,             0.99131,             0.95325,             0.99451,             0.98874,             0.99449,             0.98733
                  31,           0.0087623,           0.0022651,            0.002113,              0.9868,             0.98514,             0.98797,             0.96252,           0.0034425,           0.0016447,          0.00097435,              0.0073,              0.0073,              0.0073,             0.98594,             0.92658,              0.9899,             0.94767,             0.99394,             0.97981,             0.99169,             0.98643
                  32,           0.0086978,           0.0022454,           0.0019262,             0.98376,             0.98822,             0.99129,             0.96318,           0.0034008,           0.0016177,          0.00085715,             0.00721,             0.00721,             0.00721,             0.98641,             0.93217,             0.99005,             0.94408,             0.99445,             0.98878,             0.99422,             0.98772
                  33,           0.0086036,           0.0021894,           0.0018741,             0.98505,             0.98252,             0.98761,             0.96218,           0.0033451,           0.0015642,           0.0012097,             0.00712,             0.00712,             0.00712,             0.98598,             0.93245,             0.98927,             0.94101,             0.99243,             0.97959,             0.99251,             0.98592
                  34,            0.008282,           0.0021313,           0.0018467,             0.98968,             0.98337,             0.99216,             0.96892,           0.0031716,           0.0015146,          0.00088114,             0.00703,             0.00703,             0.00703,             0.98897,             0.93903,             0.99037,             0.95731,             0.99498,             0.99055,             0.99254,             0.99058
                  35,           0.0083162,           0.0021324,           0.0018689,             0.98284,             0.98668,             0.98987,             0.96708,           0.0032695,           0.0015821,          0.00092083,             0.00694,             0.00694,             0.00694,             0.98863,             0.93407,              0.9904,             0.95523,             0.99408,             0.98485,             0.99243,              0.9881
                  36,           0.0081089,           0.0021169,           0.0018449,              0.9884,             0.98442,             0.99173,             0.96767,           0.0031437,           0.0014934,          0.00091119,             0.00685,             0.00685,             0.00685,              0.9877,             0.93547,             0.99085,             0.95665,             0.99426,             0.98674,             0.99414,             0.99176
                  37,           0.0081733,            0.002097,           0.0016683,             0.98408,             0.98568,             0.98878,             0.96707,            0.003056,           0.0014983,          0.00094309,             0.00676,             0.00676,             0.00676,             0.98621,             0.93515,             0.98856,             0.95836,             0.99241,             0.98153,             0.99167,             0.98952
                  38,           0.0080122,           0.0020757,           0.0016416,             0.99132,             0.98622,             0.99254,             0.96919,           0.0030149,           0.0014979,          0.00074278,             0.00667,             0.00667,             0.00667,             0.98894,             0.94195,             0.99149,             0.95437,             0.99494,             0.99107,             0.99336,             0.99079
                  39,           0.0079111,           0.0020484,           0.0015003,             0.98565,             0.98298,             0.98617,             0.96481,           0.0030587,           0.0015077,           0.0010503,             0.00658,             0.00658,             0.00658,             0.98607,             0.92927,             0.98915,             0.95476,             0.99157,             0.97329,             0.99246,             0.98738
                  40,           0.0076826,           0.0019745,           0.0013805,             0.98779,             0.97931,             0.98883,             0.96668,           0.0030309,            0.001467,          0.00090167,             0.00649,             0.00649,             0.00649,             0.98716,             0.93543,              0.9906,             0.95355,             0.99322,             0.98114,             0.99229,             0.98865
                  41,           0.0077973,           0.0020086,           0.0017529,             0.98706,             0.98107,             0.99161,             0.96753,           0.0029856,           0.0014819,           0.0009517,              0.0064,              0.0064,              0.0064,             0.98916,             0.93702,             0.98862,             0.95531,             0.99487,              0.9888,             0.99139,             0.99138
                  42,            0.007454,           0.0019829,           0.0015297,             0.98534,              0.9835,             0.98985,             0.97024,           0.0029394,           0.0014292,          0.00089752,             0.00631,             0.00631,             0.00631,             0.98764,             0.93972,             0.99146,             0.96214,             0.99287,             0.98175,             0.99353,             0.99124
                  43,           0.0076179,           0.0019656,           0.0013657,             0.99149,             0.98403,             0.98875,             0.96736,            0.002912,           0.0014573,          0.00091598,             0.00622,             0.00622,             0.00622,             0.98657,             0.93323,             0.98871,             0.96093,             0.99248,             0.97816,             0.99204,             0.99232
                  44,           0.0072776,           0.0020878,           0.0022039,             0.99029,             0.98845,             0.99224,             0.97003,           0.0029602,           0.0014723,          0.00069342,             0.00613,             0.00613,             0.00613,             0.99029,             0.94278,              0.9911,             0.95597,             0.99483,             0.99199,             0.99268,             0.98944
                  45,           0.0074051,           0.0020674,           0.0019717,             0.98806,             0.98315,             0.99072,              0.9662,           0.0029062,           0.0014146,           0.0008526,             0.00604,             0.00604,             0.00604,             0.98668,             0.93055,             0.98951,             0.95805,             0.99314,             0.98458,             0.99258,             0.99259
                  46,           0.0071883,           0.0020993,            0.002381,             0.98919,             0.98712,             0.99219,             0.96994,           0.0029373,            0.001429,          0.00085189,             0.00595,             0.00595,             0.00595,               0.989,             0.93906,             0.99152,             0.96019,             0.99452,             0.99123,             0.99317,             0.98986
                  47,           0.0072787,           0.0021193,           0.0024644,             0.98727,             0.98462,             0.99314,             0.97023,           0.0028425,           0.0014394,           0.0007993,             0.00586,             0.00586,             0.00586,             0.98781,             0.94421,             0.99159,             0.95733,              0.9949,             0.99123,             0.99324,              0.9932
                  48,           0.0072504,           0.0020469,           0.0022328,             0.98605,             0.98197,             0.98975,             0.96973,            0.002821,           0.0013926,            0.001044,             0.00577,             0.00577,             0.00577,             0.98872,             0.93813,             0.99049,             0.96156,             0.99411,             0.98195,             0.99226,             0.99069
                  49,           0.0071381,           0.0020336,           0.0023347,             0.98567,             0.98683,             0.98893,             0.96897,           0.0027988,           0.0013817,          0.00093557,             0.00568,             0.00568,             0.00568,              0.9888,             0.93594,             0.99179,             0.95933,             0.99387,             0.97868,             0.99363,             0.98954
                  50,           0.0068522,            0.001952,           0.0016764,             0.98809,             0.98289,              0.9901,              0.9697,           0.0027391,           0.0013808,           0.0010046,             0.00559,             0.00559,             0.00559,             0.98922,             0.94412,             0.98985,              0.9556,             0.99462,             0.98754,              0.9928,             0.98544
                  51,           0.0068734,           0.0018773,           0.0014545,             0.98676,             0.98435,             0.99039,             0.97053,           0.0027892,           0.0013726,          0.00098363,              0.0055,              0.0055,              0.0055,             0.99013,             0.94319,             0.99141,             0.95742,             0.99458,             0.98883,             0.99329,             0.98485
                  52,           0.0068448,           0.0018334,           0.0013593,             0.98795,             0.98767,              0.9899,             0.96867,           0.0027161,           0.0013405,          0.00099976,             0.00541,             0.00541,             0.00541,             0.98929,             0.93948,             0.98971,             0.95621,             0.99494,             0.98775,             0.99255,             0.98435
                  53,           0.0067005,           0.0018406,           0.0014213,             0.98779,             0.98697,             0.99024,             0.96932,            0.002665,           0.0013291,          0.00078566,             0.00532,             0.00532,             0.00532,             0.98939,              0.9431,             0.98945,             0.95536,             0.99487,              0.9876,             0.99152,             0.98696
                  54,           0.0064812,           0.0018171,           0.0013314,             0.98782,             0.99006,              0.9912,             0.97038,           0.0026568,           0.0013325,          0.00067728,             0.00523,             0.00523,             0.00523,             0.98937,             0.94227,             0.99213,             0.95776,             0.99488,             0.98866,             0.99424,             0.98702
                  55,           0.0065125,           0.0017924,           0.0012498,             0.98894,             0.98645,             0.98888,             0.96997,           0.0026414,           0.0013372,          0.00077836,             0.00514,             0.00514,             0.00514,             0.98801,             0.94098,             0.99179,             0.95909,             0.99372,             0.98131,             0.99314,             0.98735
                  56,            0.006552,           0.0018716,             0.00152,             0.98954,             0.98564,             0.99054,             0.97126,           0.0026652,           0.0013397,          0.00080879,             0.00505,             0.00505,             0.00505,             0.98885,             0.94616,             0.99152,             0.95853,             0.99447,             0.98723,             0.99308,             0.98739
                  57,           0.0064382,           0.0018322,           0.0013474,             0.98698,             0.98358,             0.98974,             0.96904,           0.0025904,           0.0012924,          0.00084096,             0.00496,             0.00496,             0.00496,              0.9896,             0.93879,             0.99063,             0.95714,             0.99414,               0.984,             0.99243,              0.9884
                  58,           0.0062405,            0.001859,           0.0015414,             0.98738,             0.98965,             0.99214,             0.97204,            0.002575,           0.0012839,          0.00068866,             0.00487,             0.00487,             0.00487,             0.99074,             0.94554,             0.99102,             0.96088,             0.99483,             0.99294,             0.99255,             0.98823
                  59,           0.0061601,           0.0018412,           0.0014964,             0.98851,             0.98658,             0.99072,             0.97117,           0.0025335,           0.0012703,          0.00076203,             0.00478,             0.00478,             0.00478,             0.99061,             0.94432,             0.99017,             0.95959,             0.99469,             0.98938,             0.99189,             0.98692
                  60,           0.0063103,           0.0018286,           0.0015322,             0.98754,             0.98867,             0.99083,              0.9714,           0.0025183,           0.0012826,          0.00076286,             0.00469,             0.00469,             0.00469,             0.98977,             0.94486,             0.99065,             0.96031,             0.99479,             0.98937,             0.99224,             0.98691
                  61,            0.006219,           0.0017988,           0.0017299,             0.98671,             0.98619,             0.99063,             0.97095,           0.0025305,           0.0012773,          0.00090466,              0.0046,              0.0046,              0.0046,             0.99045,             0.94626,             0.98975,             0.95734,             0.99479,             0.98824,             0.99177,             0.98771
                  62,           0.0060415,           0.0017568,            0.001314,             0.98684,              0.9884,             0.99216,             0.97248,           0.0025048,            0.001266,          0.00080524,             0.00451,             0.00451,             0.00451,             0.98947,               0.948,             0.99183,             0.96062,             0.99479,             0.99079,             0.99356,              0.9895
                  63,            0.006008,           0.0016909,           0.0010734,             0.98353,             0.98585,              0.9905,             0.97087,           0.0024985,            0.001258,          0.00093438,             0.00442,             0.00442,             0.00442,             0.99058,             0.94803,             0.99103,             0.95386,             0.99474,             0.99166,              0.9935,             0.98209
                  64,           0.0059282,           0.0016343,           0.0009342,             0.98696,             0.98537,                0.99,             0.97107,           0.0025175,           0.0012499,          0.00091845,             0.00433,             0.00433,             0.00433,             0.99012,             0.94314,             0.99099,             0.96005,             0.99434,             0.98597,              0.9929,              0.9868
                  65,           0.0058503,           0.0016489,           0.0010255,             0.98438,             0.98873,             0.99111,             0.97168,           0.0024694,           0.0012312,          0.00071441,             0.00424,             0.00424,             0.00424,             0.99069,             0.94565,             0.99046,              0.9599,             0.99462,             0.98921,             0.99225,             0.98837
