               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,   metrics/insan_mAP,metrics/otomobil_mAP,metrics/motorsiklet_mAP,  metrics/otobus_mAP,  metrics/kamyon_mAP,metrics/diger_kara_araclari_mAP,metrics/rayli_tasit_mAP,metrics/deniz_tasiti_mAP,metrics/insan_mAP_50,metrics/otomobil_mAP_50,metrics/motorsiklet_mAP_50,metrics/otobus_mAP_50,metrics/kamyon_mAP_50,metrics/diger_kara_araclari_mAP_50,metrics/rayli_tasit_mAP_50,metrics/deniz_tasiti_mAP_50
                  15,            0.028045,           0.0086493,           0.0072482,             0.68126,             0.38725,             0.43455,              0.3383,            0.020315,           0.0061494,            0.005743,           0.0030686,           0.0030686,           0.0030686,              0.4898,             0.79032,            0.031658,             0.10568,             0.45222,             0.46863,            0.056137,             0.31196,             0.80983,             0.97929,            0.056985,             0.12034,              0.5315,              0.5449,            0.074645,             0.35889
                  16,            0.027732,           0.0084208,           0.0068998,              0.5893,             0.41485,              0.4762,             0.37061,            0.020211,           0.0060815,           0.0053741,           0.0030592,           0.0030592,           0.0030592,             0.49246,             0.79453,            0.041626,             0.10074,             0.55596,             0.54884,            0.074819,             0.35589,             0.81241,             0.98055,            0.074749,             0.11579,             0.64639,             0.65405,             0.10328,             0.42243
                  17,            0.027559,           0.0084732,            0.006625,             0.74498,              0.4236,             0.51522,             0.40317,            0.020018,           0.0060455,            0.005124,           0.0030498,           0.0030498,           0.0030498,             0.49026,             0.79393,            0.055807,             0.11404,             0.63125,             0.60577,             0.11109,             0.42322,             0.81343,             0.98139,             0.10331,             0.12907,             0.74022,              0.7088,             0.15291,              0.4926
                  18,            0.027514,           0.0083962,           0.0063409,             0.76251,             0.45594,             0.54191,             0.42683,            0.020079,           0.0059748,           0.0048062,           0.0030404,           0.0030404,           0.0030404,             0.49679,              0.7965,            0.065064,             0.13933,             0.67848,             0.64522,             0.11228,             0.48093,             0.81938,              0.9815,             0.12179,             0.15926,             0.79163,             0.74907,             0.14697,             0.56564
                  19,            0.027201,           0.0083302,           0.0060338,             0.78365,             0.47858,             0.55631,             0.43595,            0.019706,           0.0059422,           0.0046126,            0.003031,            0.003031,            0.003031,             0.49576,             0.79579,            0.082277,             0.17352,             0.70743,             0.64206,             0.09165,             0.49914,             0.81987,             0.98284,              0.1544,             0.19404,             0.83022,             0.75426,             0.12321,              0.5916
                  20,            0.026928,           0.0082664,           0.0056324,             0.82914,             0.49658,             0.56922,             0.44389,            0.020103,           0.0058898,           0.0043492,           0.0030217,           0.0030217,           0.0030217,             0.49882,             0.79914,            0.093668,             0.19227,             0.71943,             0.66596,            0.089952,              0.4919,             0.82278,             0.98331,             0.18143,             0.21469,             0.84771,             0.77177,             0.12037,             0.61168
                  21,            0.026777,           0.0081965,            0.005459,             0.86685,             0.50487,             0.58581,             0.46076,            0.019269,           0.0058561,           0.0041731,           0.0030123,           0.0030123,           0.0030123,             0.50734,             0.80385,             0.11045,             0.22822,             0.73311,             0.67122,             0.10518,             0.52675,             0.82971,             0.98394,             0.20341,             0.25975,             0.86746,             0.78215,             0.14223,             0.61784
                  22,            0.026555,            0.008136,           0.0052766,             0.87382,             0.51403,             0.59867,             0.47091,            0.019149,           0.0058281,            0.004066,           0.0030029,           0.0030029,           0.0030029,             0.50287,             0.80635,             0.12571,             0.24311,             0.75022,              0.6797,              0.1184,             0.54094,             0.83051,             0.98451,             0.23808,             0.28222,             0.87856,             0.78162,             0.15908,             0.63481
                  23,            0.026505,           0.0081497,           0.0051299,             0.89923,             0.51433,             0.62164,             0.48047,             0.01911,           0.0057856,           0.0039276,           0.0029935,           0.0029935,           0.0029935,             0.51104,             0.80929,             0.15604,              0.2922,             0.76479,             0.68621,             0.14081,             0.48336,             0.82941,             0.98476,             0.29462,             0.32589,             0.88935,             0.80489,              0.1905,             0.65373
                  24,            0.026394,           0.0080662,           0.0048868,             0.92293,             0.51364,             0.62825,              0.4968,            0.019273,           0.0057509,           0.0037166,           0.0029841,           0.0029841,           0.0029841,             0.51355,              0.8128,             0.17318,             0.31837,             0.76649,             0.68601,             0.13683,             0.56718,             0.83457,             0.98556,             0.31894,             0.35539,              0.8972,             0.79944,             0.17557,             0.65928
                  25,              0.0263,           0.0081827,           0.0047088,             0.90602,             0.51905,             0.64739,             0.50794,            0.019227,           0.0057237,           0.0037248,           0.0029747,           0.0029747,           0.0029747,             0.51454,             0.81046,             0.18207,             0.33634,             0.77256,             0.70101,             0.18162,             0.56491,             0.83688,             0.98591,             0.34518,             0.38711,             0.90318,             0.80539,             0.24588,             0.66962
                  26,            0.025826,           0.0078979,           0.0045465,             0.91208,             0.53128,             0.65731,             0.51774,            0.018693,            0.005699,           0.0035162,           0.0029653,           0.0029653,           0.0029653,             0.51395,             0.81397,             0.20639,             0.36373,             0.77985,             0.69732,             0.17229,             0.59446,             0.83788,             0.98608,             0.38813,             0.40693,             0.90924,             0.80638,             0.23545,             0.68841
                  27,            0.025685,           0.0077581,            0.004441,             0.92308,             0.53109,             0.67611,             0.53272,            0.018114,           0.0056655,            0.003473,           0.0029559,           0.0029559,           0.0029559,             0.52084,             0.81567,             0.24334,             0.37379,             0.78219,             0.71446,             0.19106,              0.6204,             0.83893,              0.9867,             0.44523,             0.42955,             0.91141,             0.81758,             0.25761,             0.72187
                  28,            0.025663,           0.0078319,           0.0043886,             0.92799,             0.53196,             0.68264,             0.53925,            0.018113,           0.0056404,           0.0034027,           0.0029466,           0.0029466,           0.0029466,             0.52087,             0.81453,             0.25468,             0.38071,             0.78913,              0.7096,             0.19961,             0.64491,             0.84191,             0.98636,             0.46888,             0.42379,             0.91802,             0.82445,             0.26178,             0.73593
                  29,            0.025429,           0.0078464,            0.004176,             0.92459,               0.541,             0.69559,             0.54862,            0.018103,           0.0056191,           0.0031866,           0.0029372,           0.0029372,           0.0029372,             0.52344,              0.8164,             0.26579,             0.39994,             0.79313,             0.72523,             0.19174,             0.67331,             0.84314,             0.98683,             0.48938,             0.45132,             0.92057,             0.83427,             0.25374,             0.78543
                  30,            0.025448,           0.0078434,            0.004146,             0.92106,             0.54842,             0.70586,             0.55938,            0.017836,           0.0056014,           0.0031134,           0.0029278,           0.0029278,           0.0029278,               0.524,             0.82106,             0.26954,             0.41314,             0.79553,             0.73632,             0.19445,             0.72101,             0.84572,             0.98643,             0.50239,             0.45745,             0.92506,             0.84536,             0.26338,             0.82107
