               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,   metrics/insan_mAP,metrics/otomobil_mAP,metrics/motorsiklet_mAP,  metrics/otobus_mAP,  metrics/kamyon_mAP,metrics/diger_kara_araclari_mAP,metrics/rayli_tasit_mAP,metrics/deniz_tasiti_mAP,metrics/insan_mAP_50,metrics/otomobil_mAP_50,metrics/motorsiklet_mAP_50,metrics/otobus_mAP_50,metrics/kamyon_mAP_50,metrics/diger_kara_araclari_mAP_50,metrics/rayli_tasit_mAP_50,metrics/deniz_tasiti_mAP_50
                  31,            0.017445,            0.023817,           0.0016183,             0.89021,             0.81427,             0.86054,              0.6416,            0.015155,            0.032599,           0.0022024,              0.0073,              0.0073,              0.0073,             0.50694,             0.82088,             0.40131,             0.71049,             0.76097,             0.41323,             0.70004,             0.81896,             0.85932,             0.98358,             0.75018,              0.8809,             0.91177,             0.59336,             0.93228,             0.97293
                  32,            0.017416,            0.022118,            0.001553,             0.88319,             0.81937,             0.86212,             0.63651,            0.014993,            0.034404,           0.0018238,             0.00721,             0.00721,             0.00721,             0.50393,             0.82053,              0.3823,             0.70658,             0.75717,             0.40733,             0.70933,             0.80491,             0.85395,             0.98513,             0.72756,              0.8811,             0.91958,             0.61592,             0.94434,             0.96936
                  33,            0.017541,            0.019852,           0.0014502,             0.88387,             0.82527,             0.86374,             0.63934,            0.015061,            0.036299,           0.0017888,             0.00712,             0.00712,             0.00712,              0.5004,             0.81674,             0.36638,             0.69993,             0.76109,             0.45604,              0.7067,             0.80747,             0.85077,             0.98396,             0.71276,             0.87972,             0.92365,             0.63993,             0.94041,             0.97873
                  34,            0.016726,            0.021837,           0.0015194,             0.89967,             0.82057,             0.86756,             0.64152,            0.015294,            0.034895,           0.0017692,             0.00703,             0.00703,             0.00703,             0.49963,              0.8225,             0.38502,             0.70002,             0.76373,              0.4637,             0.69754,             0.80005,             0.84779,             0.98534,             0.72368,             0.87991,             0.92519,             0.69017,             0.92436,             0.96403
                  35,            0.016902,            0.022129,           0.0014539,             0.88892,             0.81228,             0.86061,             0.64402,            0.014766,            0.035231,           0.0017887,             0.00694,             0.00694,             0.00694,             0.50433,             0.82146,             0.39282,             0.69915,             0.76321,             0.45796,             0.70386,             0.80937,             0.85358,             0.98391,             0.72833,             0.86943,             0.91766,             0.64075,             0.92601,             0.96524
                  36,            0.016649,            0.022425,           0.0014342,             0.87649,             0.83194,             0.86085,              0.6428,            0.014613,            0.034218,              0.0017,             0.00685,             0.00685,             0.00685,             0.51114,             0.82379,             0.39919,             0.71378,             0.76876,             0.45216,             0.66341,             0.81018,             0.85609,             0.98504,             0.73363,              0.8852,             0.92161,             0.61567,             0.91894,             0.97059
                  37,            0.016797,            0.022138,           0.0014683,             0.90259,             0.81671,              0.8565,             0.64127,            0.014997,            0.033686,           0.0017315,             0.00676,             0.00676,             0.00676,             0.50598,             0.82388,             0.39931,             0.70023,             0.77162,             0.44134,             0.67189,              0.8159,             0.85685,             0.98499,             0.74197,             0.87779,             0.92044,              0.5947,             0.90353,             0.97171
                  38,            0.017573,            0.026841,           0.0017259,             0.88479,             0.82889,             0.86709,             0.65271,            0.014191,            0.031014,           0.0017067,             0.00667,             0.00667,             0.00667,             0.51664,              0.8317,             0.41743,             0.70502,             0.77781,             0.45498,             0.71338,             0.80475,             0.86001,             0.98859,             0.76636,             0.87565,             0.92641,             0.62467,             0.92934,              0.9657
                  39,             0.01835,            0.028919,           0.0019614,             0.89046,             0.82266,             0.86848,             0.64285,             0.01432,            0.030126,           0.0015476,             0.00658,             0.00658,             0.00658,              0.5162,             0.83012,             0.40647,              0.7204,             0.78494,             0.46933,              0.5938,             0.82159,             0.86391,             0.98853,             0.74352,             0.88012,             0.93065,             0.65282,             0.91278,             0.97554
                  40,            0.018468,            0.029645,           0.0019738,             0.88656,             0.83831,             0.87425,             0.65635,            0.014247,            0.030028,           0.0017295,             0.00649,             0.00649,             0.00649,             0.51953,             0.83274,              0.4249,             0.71237,             0.78364,             0.47545,             0.67629,             0.82586,             0.86565,             0.98843,             0.76912,             0.87345,             0.93247,             0.69137,             0.90532,             0.96821
                  41,            0.016357,              0.0216,           0.0013906,             0.88274,             0.83964,             0.87497,             0.65773,            0.014401,            0.034256,           0.0016917,              0.0064,              0.0064,              0.0064,             0.51439,             0.82646,             0.39537,             0.71343,             0.77341,             0.51222,             0.71441,             0.81217,             0.85895,             0.98732,             0.73507,             0.88546,             0.93265,             0.70425,             0.92839,             0.96768
                  42,            0.016254,            0.021197,           0.0013915,             0.87046,             0.84435,             0.86595,             0.64416,            0.014612,            0.034732,           0.0016334,             0.00631,             0.00631,             0.00631,             0.51121,             0.82469,             0.39434,             0.72429,              0.7689,             0.50005,             0.62172,             0.80807,             0.85584,             0.98592,             0.73212,             0.88879,             0.92275,             0.69471,             0.88582,             0.96169
