               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,   metrics/insan_mAP,metrics/otomobil_mAP,metrics/motorsiklet_mAP,  metrics/otobus_mAP,  metrics/kamyon_mAP,metrics/diger_kara_araclari_mAP,metrics/rayli_tasit_mAP,metrics/deniz_tasiti_mAP,metrics/insan_mAP_50,metrics/otomobil_mAP_50,metrics/motorsiklet_mAP_50,metrics/otobus_mAP_50,metrics/kamyon_mAP_50,metrics/diger_kara_araclari_mAP_50,metrics/rayli_tasit_mAP_50,metrics/deniz_tasiti_mAP_50
                  15,            0.023147,            0.034165,           0.0036556,             0.80768,              0.7425,             0.79632,             0.57596,            0.016913,            0.032381,           0.0023564,             0.00874,             0.00874,             0.00874,             0.47388,             0.80824,             0.35655,             0.60857,             0.71045,               0.243,             0.62175,              0.7852,              0.8263,             0.98385,             0.67549,             0.80009,             0.87342,             0.38841,             0.86078,             0.96225
                  16,            0.022662,            0.033464,           0.0036194,             0.85911,             0.77632,             0.82572,             0.59617,            0.016618,            0.032108,           0.0023763,             0.00865,             0.00865,             0.00865,             0.47915,             0.79755,             0.38755,              0.6188,             0.73122,             0.32115,             0.66607,             0.76784,             0.83044,             0.98615,             0.71881,             0.82403,             0.90391,             0.47625,             0.89689,              0.9693
                  17,            0.022642,            0.033995,           0.0034586,             0.85817,             0.78942,             0.83327,             0.60372,            0.015983,            0.031583,           0.0024029,             0.00856,             0.00856,             0.00856,             0.47997,             0.81332,             0.38061,             0.69036,             0.73155,             0.28974,             0.67222,             0.77195,             0.83629,             0.98608,             0.70799,             0.88268,             0.89565,             0.47811,             0.91928,             0.96012
                  18,            0.022583,            0.033632,           0.0032784,             0.83399,             0.80138,             0.82971,             0.60385,            0.016298,            0.031689,           0.0022585,             0.00847,             0.00847,             0.00847,             0.48294,             0.81103,             0.38601,               0.662,              0.7327,             0.30759,             0.66947,             0.77907,             0.83459,             0.98573,             0.72045,             0.84842,             0.89575,             0.48109,               0.906,             0.96561
                  19,            0.020653,            0.029649,           0.0025786,             0.88048,              0.7757,             0.83029,             0.60788,            0.016105,            0.031426,           0.0019813,             0.00838,             0.00838,             0.00838,             0.48949,             0.81565,             0.35907,             0.67785,             0.74845,             0.30156,             0.68108,             0.78993,             0.84662,             0.98777,             0.68487,             0.86592,              0.9179,             0.44294,             0.92548,              0.9708
                  20,            0.020441,            0.029261,           0.0025269,             0.83886,              0.8111,             0.82851,             0.59665,            0.016826,            0.031328,           0.0021785,             0.00829,             0.00829,             0.00829,             0.49096,             0.81494,             0.38058,             0.68115,             0.75312,             0.41952,             0.45508,             0.77782,             0.84896,             0.98875,             0.74144,             0.87244,             0.92341,             0.55985,             0.71835,             0.97493
                  21,            0.020268,            0.029198,           0.0023617,             0.83588,             0.82551,             0.85245,             0.63155,            0.015384,            0.031412,           0.0022888,              0.0082,              0.0082,              0.0082,             0.49073,             0.82178,             0.39086,             0.68565,             0.74913,             0.42209,             0.69685,             0.79533,             0.85338,             0.98713,             0.71733,             0.87589,             0.92358,             0.56134,             0.92413,             0.97681
                  22,             0.01917,            0.025955,           0.0018768,             0.87825,             0.80982,             0.85021,              0.6313,             0.01537,               0.032,           0.0020416,             0.00811,             0.00811,             0.00811,             0.50163,             0.81883,             0.37716,             0.68467,             0.75001,             0.40843,              0.7063,              0.8034,              0.8529,             0.98776,              0.7152,             0.87667,             0.91914,             0.54431,             0.93525,             0.97045
                  23,            0.018863,            0.025329,           0.0018631,              0.8831,              0.8167,             0.86246,             0.62984,            0.015533,            0.032504,           0.0019791,             0.00802,             0.00802,             0.00802,             0.50384,             0.81742,             0.39205,             0.71604,             0.76229,             0.44687,             0.59734,             0.80286,             0.85368,             0.98702,             0.73989,             0.89803,             0.93557,             0.60436,             0.90205,             0.97907
                  24,             0.01848,            0.025295,           0.0017674,             0.87704,             0.82136,              0.8669,             0.63754,            0.014915,            0.032658,           0.0018249,             0.00793,             0.00793,             0.00793,             0.50299,             0.82231,             0.38536,             0.70666,             0.75573,             0.43296,             0.69017,             0.80411,              0.8575,             0.98776,             0.73159,             0.88126,             0.92199,             0.64379,             0.94462,             0.96672
                  25,             0.01891,            0.027685,           0.0020728,             0.88231,             0.83076,             0.86434,             0.63165,            0.015259,            0.031315,            0.001857,             0.00784,             0.00784,             0.00784,             0.50587,             0.82135,             0.41711,             0.69996,             0.75708,              0.4257,             0.65609,             0.77003,             0.85529,              0.9874,              0.7579,             0.89069,             0.92247,                 0.6,              0.9344,             0.96661
                  26,            0.018561,            0.026736,           0.0019023,             0.86706,             0.81544,             0.86049,             0.63735,            0.014814,            0.031282,            0.002019,             0.00775,             0.00775,             0.00775,             0.50563,             0.82248,             0.39018,             0.69234,             0.76462,             0.40831,             0.70512,              0.8101,              0.8574,             0.98763,             0.73898,             0.87212,             0.92506,             0.59224,             0.93187,             0.97862
                  27,            0.018305,            0.023957,           0.0016539,             0.88333,             0.82845,              0.8641,             0.63943,            0.015258,            0.032585,           0.0018145,             0.00766,             0.00766,             0.00766,             0.50506,              0.8209,             0.37376,             0.68759,             0.76531,             0.44493,             0.71429,             0.80363,             0.85894,             0.98612,             0.71658,             0.87225,             0.92704,             0.63831,             0.93979,             0.97382
