               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,   metrics/insan_mAP,metrics/otomobil_mAP,metrics/motorsiklet_mAP,  metrics/otobus_mAP,  metrics/kamyon_mAP,metrics/diger_kara_araclari_mAP,metrics/rayli_tasit_mAP,metrics/deniz_tasiti_mAP,metrics/insan_mAP_50,metrics/otomobil_mAP_50,metrics/motorsiklet_mAP_50,metrics/otobus_mAP_50,metrics/kamyon_mAP_50,metrics/diger_kara_araclari_mAP_50,metrics/rayli_tasit_mAP_50,metrics/deniz_tasiti_mAP_50
                  96,            0.012334,            0.017499,          0.00076537,             0.88979,              0.8418,              0.8719,             0.67099,            0.013224,            0.039288,            0.001346,             0.00145,             0.00145,             0.00145,             0.52586,             0.84045,             0.40014,             0.72473,             0.78972,             0.52448,             0.72278,             0.83973,             0.86178,             0.98475,             0.73197,             0.88593,             0.92946,             0.69054,              0.9182,             0.97255
                  97,            0.010973,            0.013133,          0.00060996,             0.89171,             0.84145,             0.86973,             0.66757,            0.013268,            0.041261,            0.001341,             0.00136,             0.00136,             0.00136,             0.52554,             0.83952,             0.39699,             0.72721,             0.78915,             0.50131,             0.72204,             0.83878,              0.8607,             0.98452,             0.73252,             0.89092,             0.92531,             0.67303,             0.92102,             0.96985
                  98,            0.011001,            0.013003,          0.00062761,             0.90173,             0.83284,             0.86946,             0.66579,            0.013322,             0.04317,           0.0013261,             0.00127,             0.00127,             0.00127,             0.52407,             0.83916,              0.3946,             0.72839,             0.78537,             0.49811,             0.72035,             0.83624,              0.8568,             0.98418,             0.73079,             0.88804,             0.92532,             0.67518,             0.92664,             0.96873
                  99,            0.010861,             0.01341,          0.00060659,             0.88593,             0.84538,             0.87086,             0.66643,            0.013371,            0.044418,           0.0013327,             0.00118,             0.00118,             0.00118,             0.52252,             0.83799,             0.39036,             0.72805,             0.78363,             0.51128,             0.72033,             0.83729,             0.85434,             0.98361,             0.73298,             0.89059,             0.92476,             0.68681,             0.92452,             0.96927
